2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | products | SUCCESS | 1 | 10 | SELECT COUNT(*) FROM products WHERE category = 'home';
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | UPDATE | products | SUCCESS | 1 | 2 | UPDATE products SET stock = 1 WHERE product_id = 26;
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | UPDATE | customers | SUCCESS | 1 | 2 | UPDATE customers SET last_login = '2026-04-03' WHERE customer_id = 179;
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | INSERT | customers | SUCCESS | 1 | 2 | INSERT INTO customers (name, city, email, status) VALUES ('user_12', 'Riverside', 'u12@mail.com', 'pending');
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | orders | SUCCESS | 125 | 1 | SELECT * FROM orders WHERE status = 'shipped';
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | products | SUCCESS | 1 | 0 | SELECT name, price FROM products WHERE product_id = 27;
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | customers | SUCCESS | 1 | 0 | SELECT name, email FROM customers WHERE customer_id = 164;
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | INSERT | orders | SUCCESS | 1 | 2 | INSERT INTO orders (customer_id, total, status) VALUES (146, 122.06, 'pending');
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | customers | SUCCESS | 1 | 0 | SELECT COUNT(*) FROM customers WHERE status = 'active';
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | UPDATE | customers | SUCCESS | 1 | 1 | UPDATE customers SET city = 'Riverside' WHERE customer_id = 41;
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | UPDATE | products | SUCCESS | 1 | 1 | UPDATE products SET price = 186.95 WHERE product_id = 69;
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | customers | SUCCESS | 200 | 1 | SELECT * FROM customers WHERE last_login > '2026-03-07';
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | orders | SUCCESS | 501 | 1 | SELECT * FROM orders WHERE order_date > '2026-02-08';
2026-04-09 17:13:39 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | products | SUCCESS | 1 | 0 | SELECT COUNT(*) FROM products WHERE category = 'clothing';
2026-04-09 17:13:40 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | products | SUCCESS | 1 | 0 | SELECT COUNT(*) FROM products WHERE category = 'sports';
2026-04-09 17:13:40 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | orders | SUCCESS | 135 | 1 | SELECT * FROM orders WHERE order_date > '2026-03-25';
2026-04-09 17:13:40 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | INSERT | customers | SUCCESS | 1 | 1 | INSERT INTO customers (name, city, email, status) VALUES ('user_9', 'Pasadena', 'u9@mail.com', 'active');
2026-04-09 17:13:40 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | UPDATE | customers | SUCCESS | 1 | 1 | UPDATE customers SET city = 'Glendora' WHERE customer_id = 122;
2026-04-09 17:13:40 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | SELECT | customers | SUCCESS | 91 | 1 | SELECT * FROM customers WHERE last_login > '2026-03-27';
2026-04-09 17:13:40 | app_user | employee | s1 | 10.0.0.12 | desktop | prod | public | UPDATE | products | SUCCESS | 1 | 1 | UPDATE products SET stock = 23 WHERE product_id = 10;

2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | UPDATE | orders | SUCCESS | 1 | 3 | UPDATE orders SET status = 'inactive' WHERE order_id = 402;
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | orders | SUCCESS | 1 | 1 | SELECT COUNT(*) FROM orders WHERE order_date > '2026-04-05';
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | customers | SUCCESS | 1 | 1 | SELECT name, email FROM customers WHERE customer_id = 150;
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | INSERT | customers | SUCCESS | 1 | 1 | INSERT INTO customers (name, city, email, status) VALUES ('user_61', 'Azusa', 'u61@mail.com', 'pending');
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | orders | SUCCESS | 1 | 0 | SELECT COUNT(*) FROM orders WHERE order_date > '2026-03-14';
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | customers | SUCCESS | 1 | 0 | SELECT name, email FROM customers WHERE customer_id = 19;
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | orders | SUCCESS | 3 | 0 | SELECT order_id, total FROM orders WHERE customer_id = 95;
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | UPDATE | customers | SUCCESS | 1 | 1 | UPDATE customers SET city = 'Fullerton' WHERE customer_id = 27;
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | customers | SUCCESS | 30 | 0 | SELECT * FROM customers WHERE created_date > '2026-03-12';
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | customers | SUCCESS | 3 | 0 | SELECT * FROM customers WHERE created_date > '2026-04-08';
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | orders | SUCCESS | 213 | 1 | SELECT * FROM orders WHERE order_date > '2026-03-16';
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | products | SUCCESS | 13 | 2 | SELECT * FROM products WHERE category = 'clothing';
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | products | SUCCESS | 49 | 0 | SELECT * FROM products WHERE stock > 100;
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | UPDATE | products | SUCCESS | 1 | 0 | UPDATE products SET stock = 17 WHERE product_id = 45;
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | customers | SUCCESS | 17 | 0 | SELECT * FROM customers WHERE city = 'Claremont';
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | products | SUCCESS | 13 | 0 | SELECT * FROM products WHERE category = 'home';
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | UPDATE | customers | SUCCESS | 1 | 1 | UPDATE customers SET last_login = '2026-03-12' WHERE customer_id = 138;
2026-04-09 17:13:40 | analyst | employee | s2 | 10.0.0.22 | laptop | prod | public | SELECT | products | SUCCESS | 12 | 0 | SELECT * FROM products WHERE category = 'garden';
